iter 3158, val_unseen , nav_error: 7.0033, oracle_error: 4.5894, steps: 23.0136, lengths: 9.0769, success_rate: 0.3401, oracle_rate: 0.4219, spl: 0.3182, val_seen , nav_error: 6.9440, oracle_error: 4.8196, steps: 24.3918, lengths: 9.2591, success_rate: 0.3418, oracle_rate: 0.4104, spl: 0.3249, train , nav_error: 6.6227, oracle_error: 4.4899, steps: 23.8575, lengths: 9.2513, success_rate: 0.3712, oracle_rate: 0.4488, spl: 0.3501
BEST RESULT TILL NOW: val_seen | Iter 2951 iter 2951, val_unseen , nav_error: 6.9609, oracle_error: 4.6564, steps: 22.5045, lengths: 8.7555, success_rate: 0.3427, oracle_rate: 0.4155, spl: 0.3239, val_seen , nav_error: 6.9165, oracle_error: 4.8503, steps: 23.3242, lengths: 8.9475, success_rate: 0.3487, oracle_rate: 0.4133, spl: 0.3359, train , nav_error: 6.6268, oracle_error: 4.6065, steps: 23.2623, lengths: 8.9347, success_rate: 0.3654, oracle_rate: 0.4365, spl: 0.3469
BEST RESULT TILL NOW: val_unseen | Iter 2951 iter 2951, val_unseen , nav_error: 6.9609, oracle_error: 4.6564, steps: 22.5045, lengths: 8.7555, success_rate: 0.3427, oracle_rate: 0.4155, spl: 0.3239, val_seen , nav_error: 6.9165, oracle_error: 4.8503, steps: 23.3242, lengths: 8.9475, success_rate: 0.3487, oracle_rate: 0.4133, spl: 0.3359, train , nav_error: 6.6268, oracle_error: 4.6065, steps: 23.2623, lengths: 8.9347, success_rate: 0.3654, oracle_rate: 0.4365, spl: 0.3469
iter 3375, val_unseen , nav_error: 6.9072, oracle_error: 4.4832, steps: 22.7220, lengths: 9.2216, success_rate: 0.3474, oracle_rate: 0.4321, spl: 0.3240, val_seen , nav_error: 6.8746, oracle_error: 4.6435, steps: 24.1117, lengths: 9.4286, success_rate: 0.3653, oracle_rate: 0.4407, spl: 0.3476, train , nav_error: 6.5445, oracle_error: 4.3951, steps: 23.7148, lengths: 9.3976, success_rate: 0.3809, oracle_rate: 0.4642, spl: 0.3583
BEST RESULT TILL NOW: val_seen | Iter 3375 iter 3375, val_unseen , nav_error: 6.9072, oracle_error: 4.4832, steps: 22.7220, lengths: 9.2216, success_rate: 0.3474, oracle_rate: 0.4321, spl: 0.3240, val_seen , nav_error: 6.8746, oracle_error: 4.6435, steps: 24.1117, lengths: 9.4286, success_rate: 0.3653, oracle_rate: 0.4407, spl: 0.3476, train , nav_error: 6.5445, oracle_error: 4.3951, steps: 23.7148, lengths: 9.3976, success_rate: 0.3809, oracle_rate: 0.4642, spl: 0.3583
BEST RESULT TILL NOW: val_unseen | Iter 3375 iter 3375, val_unseen , nav_error: 6.9072, oracle_error: 4.4832, steps: 22.7220, lengths: 9.2216, success_rate: 0.3474, oracle_rate: 0.4321, spl: 0.3240, val_seen , nav_error: 6.8746, oracle_error: 4.6435, steps: 24.1117, lengths: 9.4286, success_rate: 0.3653, oracle_rate: 0.4407, spl: 0.3476, train , nav_error: 6.5445, oracle_error: 4.3951, steps: 23.7148, lengths: 9.3976, success_rate: 0.3809, oracle_rate: 0.4642, spl: 0.3583
iter 3619, val_unseen , nav_error: 6.8470, oracle_error: 4.5368, steps: 22.4432, lengths: 8.8725, success_rate: 0.3431, oracle_rate: 0.4219, spl: 0.3223, val_seen , nav_error: 6.9718, oracle_error: 4.7617, steps: 23.5397, lengths: 9.1407, success_rate: 0.3575, oracle_rate: 0.4231, spl: 0.3434, train , nav_error: 6.4757, oracle_error: 4.4536, steps: 23.2217, lengths: 9.1299, success_rate: 0.3802, oracle_rate: 0.4554, spl: 0.3600
BEST RESULT TILL NOW: val_seen | Iter 3375 iter 3375, val_unseen , nav_error: 6.9072, oracle_error: 4.4832, steps: 22.7220, lengths: 9.2216, success_rate: 0.3474, oracle_rate: 0.4321, spl: 0.3240, val_seen , nav_error: 6.8746, oracle_error: 4.6435, steps: 24.1117, lengths: 9.4286, success_rate: 0.3653, oracle_rate: 0.4407, spl: 0.3476, train , nav_error: 6.5445, oracle_error: 4.3951, steps: 23.7148, lengths: 9.3976, success_rate: 0.3809, oracle_rate: 0.4642, spl: 0.3583
BEST RESULT TILL NOW: val_unseen | Iter 3375 iter 3375, val_unseen , nav_error: 6.9072, oracle_error: 4.4832, steps: 22.7220, lengths: 9.2216, success_rate: 0.3474, oracle_rate: 0.4321, spl: 0.3240, val_seen , nav_error: 6.8746, oracle_error: 4.6435, steps: 24.1117, lengths: 9.4286, success_rate: 0.3653, oracle_rate: 0.4407, spl: 0.3476, train , nav_error: 6.5445, oracle_error: 4.3951, steps: 23.7148, lengths: 9.3976, success_rate: 0.3809, oracle_rate: 0.4642, spl: 0.3583
iter 3825, val_unseen , nav_error: 6.7157, oracle_error: 4.5375, steps: 22.2746, lengths: 8.8119, success_rate: 0.3589, oracle_rate: 0.4283, spl: 0.3381, val_seen , nav_error: 6.7490, oracle_error: 4.7048, steps: 23.5181, lengths: 9.1406, success_rate: 0.3536, oracle_rate: 0.4182, spl: 0.3386, train , nav_error: 6.3893, oracle_error: 4.4070, steps: 23.0445, lengths: 9.1013, success_rate: 0.3849, oracle_rate: 0.4584, spl: 0.3650
