iter 3375, val_unseen , nav_error: 6.3823, oracle_error: 4.2746, steps: 22.7271, lengths: 9.0552, success_rate: 0.3912, oracle_rate: 0.4657, spl: 0.3659, val_seen , nav_error: 6.3599, oracle_error: 4.4065, steps: 24.1146, lengths: 9.4385, success_rate: 0.3986, oracle_rate: 0.4623, spl: 0.3810, train , nav_error: 5.9244, oracle_error: 4.1028, steps: 23.6365, lengths: 9.3183, success_rate: 0.4333, oracle_rate: 0.5022, spl: 0.4102
BEST RESULT TILL NOW: val_seen | Iter 3375 iter 3375, val_unseen , nav_error: 6.3823, oracle_error: 4.2746, steps: 22.7271, lengths: 9.0552, success_rate: 0.3912, oracle_rate: 0.4657, spl: 0.3659, val_seen , nav_error: 6.3599, oracle_error: 4.4065, steps: 24.1146, lengths: 9.4385, success_rate: 0.3986, oracle_rate: 0.4623, spl: 0.3810, train , nav_error: 5.9244, oracle_error: 4.1028, steps: 23.6365, lengths: 9.3183, success_rate: 0.4333, oracle_rate: 0.5022, spl: 0.4102
BEST RESULT TILL NOW: val_unseen | Iter 3375 iter 3375, val_unseen , nav_error: 6.3823, oracle_error: 4.2746, steps: 22.7271, lengths: 9.0552, success_rate: 0.3912, oracle_rate: 0.4657, spl: 0.3659, val_seen , nav_error: 6.3599, oracle_error: 4.4065, steps: 24.1146, lengths: 9.4385, success_rate: 0.3986, oracle_rate: 0.4623, spl: 0.3810, train , nav_error: 5.9244, oracle_error: 4.1028, steps: 23.6365, lengths: 9.3183, success_rate: 0.4333, oracle_rate: 0.5022, spl: 0.4102
iter 3619, val_unseen , nav_error: 6.6155, oracle_error: 4.4225, steps: 22.7582, lengths: 8.8802, success_rate: 0.3789, oracle_rate: 0.4423, spl: 0.3577, val_seen , nav_error: 6.7407, oracle_error: 4.6179, steps: 23.6523, lengths: 9.3195, success_rate: 0.3751, oracle_rate: 0.4476, spl: 0.3582, train , nav_error: 5.9398, oracle_error: 4.1122, steps: 23.4079, lengths: 9.2719, success_rate: 0.4299, oracle_rate: 0.5032, spl: 0.4069
BEST RESULT TILL NOW: val_seen | Iter 3375 iter 3375, val_unseen , nav_error: 6.3823, oracle_error: 4.2746, steps: 22.7271, lengths: 9.0552, success_rate: 0.3912, oracle_rate: 0.4657, spl: 0.3659, val_seen , nav_error: 6.3599, oracle_error: 4.4065, steps: 24.1146, lengths: 9.4385, success_rate: 0.3986, oracle_rate: 0.4623, spl: 0.3810, train , nav_error: 5.9244, oracle_error: 4.1028, steps: 23.6365, lengths: 9.3183, success_rate: 0.4333, oracle_rate: 0.5022, spl: 0.4102
BEST RESULT TILL NOW: val_unseen | Iter 3375 iter 3375, val_unseen , nav_error: 6.3823, oracle_error: 4.2746, steps: 22.7271, lengths: 9.0552, success_rate: 0.3912, oracle_rate: 0.4657, spl: 0.3659, val_seen , nav_error: 6.3599, oracle_error: 4.4065, steps: 24.1146, lengths: 9.4385, success_rate: 0.3986, oracle_rate: 0.4623, spl: 0.3810, train , nav_error: 5.9244, oracle_error: 4.1028, steps: 23.6365, lengths: 9.3183, success_rate: 0.4333, oracle_rate: 0.5022, spl: 0.4102
iter 3825, val_unseen , nav_error: 6.2338, oracle_error: 4.2848, steps: 22.8374, lengths: 8.8310, success_rate: 0.3980, oracle_rate: 0.4653, spl: 0.3763, val_seen , nav_error: 6.6122, oracle_error: 4.6589, steps: 23.7943, lengths: 9.1734, success_rate: 0.3732, oracle_rate: 0.4329, spl: 0.3567, train , nav_error: 5.7546, oracle_error: 4.0911, steps: 23.2546, lengths: 9.0921, success_rate: 0.4311, oracle_rate: 0.4951, spl: 0.4099
BEST RESULT TILL NOW: val_seen | Iter 3375 iter 3375, val_unseen , nav_error: 6.3823, oracle_error: 4.2746, steps: 22.7271, lengths: 9.0552, success_rate: 0.3912, oracle_rate: 0.4657, spl: 0.3659, val_seen , nav_error: 6.3599, oracle_error: 4.4065, steps: 24.1146, lengths: 9.4385, success_rate: 0.3986, oracle_rate: 0.4623, spl: 0.3810, train , nav_error: 5.9244, oracle_error: 4.1028, steps: 23.6365, lengths: 9.3183, success_rate: 0.4333, oracle_rate: 0.5022, spl: 0.4102
BEST RESULT TILL NOW: val_unseen | Iter 3825 iter 3825, val_unseen , nav_error: 6.2338, oracle_error: 4.2848, steps: 22.8374, lengths: 8.8310, success_rate: 0.3980, oracle_rate: 0.4653, spl: 0.3763, val_seen , nav_error: 6.6122, oracle_error: 4.6589, steps: 23.7943, lengths: 9.1734, success_rate: 0.3732, oracle_rate: 0.4329, spl: 0.3567, train , nav_error: 5.7546, oracle_error: 4.0911, steps: 23.2546, lengths: 9.0921, success_rate: 0.4311, oracle_rate: 0.4951, spl: 0.4099
iter 4012, val_unseen , nav_error: 6.2457, oracle_error: 4.1139, steps: 23.3180, lengths: 9.3043, success_rate: 0.4044, oracle_rate: 0.4823, spl: 0.3767, val_seen , nav_error: 6.5641, oracle_error: 4.4372, steps: 24.4339, lengths: 9.6897, success_rate: 0.3830, oracle_rate: 0.4574, spl: 0.3636, train , nav_error: 5.7737, oracle_error: 3.9276, steps: 23.7685, lengths: 9.5654, success_rate: 0.4449, oracle_rate: 0.5261, spl: 0.4185
